feedback_id,customer_id,transaction_id,rating,feedback_text,date
FB_000001,CUST_001960,TXN_00006610,5,Payment process was smooth,2023-02-09 05:05:00
FB_000002,CUST_000897,TXN_00007760,4,Great product quality and fast delivery!,2023-09-11 03:38:00
FB_000003,CUST_000890,TXN_00001924,4,Amazing deals and discounts available,2023-01-25 17:03:00
FB_000004,CUST_000757,TXN_00001773,2,Could improve packaging quality,2023-12-01 15:33:00
FB_000005,CUST_001236,TXN_00006091,3,Great variety of products available,2023-10-12 16:27:00
FB_000006,CUST_001955,TXN_00000273,5,Payment process was smooth,2023-06-10 07:56:00
FB_000007,CUST_000591,TXN_00003656,4,Could improve packaging quality,2023-06-24 07:16:00
FB_000008,CUST_000740,TXN_00006323,5,Excellent customer service experience,2023-08-10 02:13:00
FB_000009,CUST_001673,TXN_00000133,3,Great product quality and fast delivery!,2024-01-25 21:58:00
FB_000010,CUST_001036,TXN_00003124,3,Product exactly as described,2023-10-30 13:54:00
FB_000011,CUST_001971,TXN_00003367,5,Customer support was very helpful,2023-01-13 15:12:00
FB_000012,CUST_000068,TXN_00003409,5,Great variety of products available,2024-03-09 00:15:00
FB_000013,CUST_000084,TXN_00005580,5,Very satisfied with the purchase,2023-09-04 08:04:00
FB_000014,CUST_001514,TXN_00007305,5,Fast and reliable delivery service,2023-12-28 16:30:00
FB_000015,CUST_000590,TXN_00004043,4,Product exactly as described,2023-08-04 14:18:00
FB_000016,CUST_000433,TXN_00000499,2,Delivery was delayed by 2 days,2023-10-23 09:11:00
FB_000017,CUST_000897,TXN_00005281,3,Amazing deals and discounts available,2023-10-22 20:26:00
FB_000018,CUST_000779,TXN_00007293,4,Payment process was smooth,2024-03-16 04:13:00
FB_000019,CUST_001604,TXN_00005428,3,Delivery was delayed by 2 days,2023-04-27 01:27:00
FB_000020,CUST_001931,TXN_00005719,1,Outstanding shopping experience,2023-11-20 16:33:00
FB_000021,CUST_000012,TXN_00003290,3,Product was damaged during shipping,2023-08-04 00:59:00
FB_000022,CUST_001360,TXN_00001747,5,Could improve packaging quality,2023-09-17 19:34:00
FB_000023,CUST_001661,TXN_00006272,1,Excellent customer service experience,2024-03-17 11:14:00
FB_000024,CUST_000853,TXN_00007418,5,Amazing deals and discounts available,2023-07-30 05:50:00
FB_000025,CUST_000253,TXN_00001909,2,Product was damaged during shipping,2023-03-31 15:14:00
FB_000026,CUST_000807,TXN_00000743,4,Product exactly as described,2023-01-27 11:41:00
FB_000027,CUST_001101,TXN_00000819,2,Product quality could be better,2024-02-18 03:51:00
FB_000028,CUST_001487,TXN_00004695,3,Great variety of products available,2023-05-06 23:18:00
FB_000029,CUST_000728,TXN_00006462,5,Product quality could be better,2023-02-22 16:21:00
FB_000030,CUST_001502,TXN_00000566,5,Great product quality and fast delivery!,2023-02-09 04:33:00
FB_000031,CUST_000055,TXN_00005888,2,Fast and reliable delivery service,2023-02-04 08:41:00
FB_000032,CUST_000206,TXN_00003529,4,Website is easy to navigate,2023-10-06 08:35:00
FB_000033,CUST_001554,TXN_00005710,4,Customer support was very helpful,2023-08-31 21:16:00
FB_000034,CUST_000186,TXN_00000765,3,Great product quality and fast delivery!,2023-12-12 12:54:00
FB_000035,CUST_000570,TXN_00000855,2,Very satisfied with the purchase,2023-04-14 15:16:00
FB_000036,CUST_000475,TXN_00007890,4,Product was damaged during shipping,2023-12-26 02:30:00
FB_000037,CUST_000301,TXN_00004836,2,Delivery was delayed by 2 days,2023-07-06 20:12:00
FB_000038,CUST_001933,TXN_00002723,4,Customer support was very helpful,2023-04-19 12:46:00
FB_000039,CUST_001301,TXN_00002761,4,Could improve packaging quality,2023-06-06 14:50:00
FB_000040,CUST_000812,TXN_00006092,5,Product quality could be better,2024-01-11 00:47:00
FB_000041,CUST_000264,TXN_00001805,2,Very satisfied with the purchase,2023-11-13 03:05:00
FB_000042,CUST_001177,TXN_00000210,2,Product quality could be better,2024-01-17 13:34:00
FB_000043,CUST_001027,TXN_00004874,2,Product was damaged during shipping,2023-01-27 05:05:00
FB_000044,CUST_001253,TXN_00002007,5,Customer support was very helpful,2023-05-20 14:32:00
FB_000045,CUST_001718,TXN_00004015,3,Amazing deals and discounts available,2024-03-01 12:32:00
FB_000046,CUST_001463,TXN_00001684,5,Delivery was delayed by 2 days,2023-03-18 23:25:00
FB_000047,CUST_001026,TXN_00005951,5,Website is easy to navigate,2023-01-11 03:26:00
FB_000048,CUST_001876,TXN_00000935,4,Customer support was very helpful,2023-06-19 05:03:00
FB_000049,CUST_000575,TXN_00006890,2,Customer support was very helpful,2023-10-15 21:01:00
FB_000050,CUST_001327,TXN_00001560,2,Great variety of products available,2023-05-24 07:09:00
FB_000051,CUST_000753,TXN_00002095,3,Great product quality and fast delivery!,2023-08-31 10:47:00
FB_000052,CUST_001222,TXN_00005613,5,Fast and reliable delivery service,2023-07-17 20:39:00
FB_000053,CUST_001073,TXN_00000468,5,Delivery was delayed by 2 days,2023-01-23 02:20:00
FB_000054,CUST_001481,TXN_00001888,3,Could improve packaging quality,2024-01-22 16:48:00
FB_000055,CUST_000582,TXN_00003995,5,Payment process was smooth,2023-02-15 22:15:00
FB_000056,CUST_000493,TXN_00004038,5,Website is easy to navigate,2023-10-10 00:54:00
FB_000057,CUST_000236,TXN_00005102,5,Could improve packaging quality,2023-05-06 06:48:00
FB_000058,CUST_000018,TXN_00000633,5,Delivery was delayed by 2 days,2023-08-09 04:16:00
FB_000059,CUST_001661,TXN_00003822,3,Product quality could be better,2023-01-21 23:08:00
FB_000060,CUST_000596,TXN_00000069,4,Product quality could be better,2023-12-26 10:55:00
FB_000061,CUST_000931,TXN_00006341,5,Product quality could be better,2023-10-26 12:29:00
FB_000062,CUST_001526,TXN_00007766,5,Very satisfied with the purchase,2023-05-04 14:22:00
FB_000063,CUST_000288,TXN_00001761,4,Product quality could be better,2024-02-25 19:18:00
FB_000064,CUST_001924,TXN_00003979,4,Excellent customer service experience,2023-02-26 06:58:00
FB_000065,CUST_000308,TXN_00004688,4,Product quality could be better,2023-09-04 13:29:00
FB_000066,CUST_001510,TXN_00005170,2,Website is easy to navigate,2024-02-19 09:10:00
FB_000067,CUST_000576,TXN_00005343,4,Payment process was smooth,2023-10-01 12:29:00
FB_000068,CUST_001547,TXN_00001731,5,Payment process was smooth,2023-01-28 17:37:00
